link,company_job,Experience,No_of_salary,No_of_salary1,average_salary,average_bonus,salary_range,Salary_25,Salary_75
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Data-Scientist-Salaries-E8014_D_KO31,45.htm?experienceLevel=FOUR_TO_SIX",Cognizant Technology Solutions Data Scientist Salaries,4-6 Years,17 Salaries,17,"₹ 11,15,086","Additional Pay Average: ₹ 1,09,936","₹485K ₹1,902K",₹669K 25%,"₹1,412K 75%"
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Data-Scientist-Salaries-E8014_D_KO31,45.htm?experienceLevel=SEVEN_TO_NINE",Cognizant Technology Solutions Data Scientist Salaries,7-9 Years,5 Salaries,5,"₹ 10,00,000","Additional Pay Average: ₹ 1,03,529","₹373K ₹11,896K",₹661K 25%,"₹6,772K 75%"
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Data-Scientist-Salaries-E8014_D_KO31,45.htm?experienceLevel=TEN_TO_FOURTEEN",Cognizant Technology Solutions Data Scientist Salaries,10-14 Years,4 Salaries,4,"₹ 13,81,312","Additional Pay Average: ₹ 63,163","₹1,154K ₹1,526K","₹1,201K 25%","₹1,501K 75%"
"https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Data-Scientist-Salaries-E8014_D_KO31,45.htm?experienceLevel=ABOVE_FIFTEEN",Cognizant Technology Solutions Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=LESS_THAN_ONE",Accenture Data Scientist Salaries,0-1 Years,13 Salaries,13,"₹ 10,46,377",NA,"₹420K ₹1,750K",₹615K 25%,"₹1,286K 75%"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=ONE_TO_THREE",Accenture Data Scientist Salaries,1-3 Years,25 Salaries,25,"₹ 7,54,480","Additional Pay Average: ₹ 1,00,597","₹420K ₹1,750K",₹576K 25%,"₹1,385K 75%"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=FOUR_TO_SIX",Accenture Data Scientist Salaries,4-6 Years,11 Salaries,11,"₹ 11,31,587","Additional Pay Average: ₹ 1,82,056","₹460K ₹1,746K",₹623K 25%,"₹1,328K 75%"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=SEVEN_TO_NINE",Accenture Data Scientist Salaries,7-9 Years,6 Salaries,6,"₹ 10,37,026","Additional Pay Average: ₹ 1,39,292","₹180K ₹2,249K",₹705K 25%,"₹1,679K 75%"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=TEN_TO_FOURTEEN",Accenture Data Scientist Salaries,10-14 Years,4 Salaries,4,"₹ 27,54,746","Additional Pay Average: ₹ 5,07,644","₹2,213K ₹3,554K","₹2,271K 25%","₹3,431K 75%"
"https://www.glassdoor.co.in/Salary/Accenture-Data-Scientist-Salaries-E4138_D_KO10,24.htm?experienceLevel=ABOVE_FIFTEEN",Accenture Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=LESS_THAN_ONE",Infosys Data Scientist Salaries,0-1 Years,11 Salaries,11,"₹ 8,47,310","Additional Pay Average: ₹ 84,145","₹211K ₹4,600K",₹318K 25%,"₹1,200K 75%"
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=ONE_TO_THREE",Infosys Data Scientist Salaries,1-3 Years,23 Salaries,23,"₹ 7,20,000",NA,"₹289K ₹1,333K",₹426K 25%,"₹1,099K 75%"
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=FOUR_TO_SIX",Infosys Data Scientist Salaries,4-6 Years,8 Salaries,8,"₹ 8,73,723","Additional Pay Average: ₹ 50,410","₹505K ₹1,200K",₹579K 25%,"₹1,130K 75%"
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=SEVEN_TO_NINE",Infosys Data Scientist Salaries,7-9 Years,6 Salaries,6,"₹ 15,10,379",NA,"₹1,433K ₹3,226K","₹1,460K 25%","₹2,117K 75%"
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=TEN_TO_FOURTEEN",Infosys Data Scientist Salaries,10-14 Years,3 Salaries,3,"₹ 5,00,000 - ₹ 32,43,656",NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Infosys-Data-Scientist-Salaries-E7927_D_KO8,22.htm?experienceLevel=ABOVE_FIFTEEN",Infosys Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=LESS_THAN_ONE",Fractal Data Scientist Salaries,0-1 Years,12 Salaries,12,"₹ 11,89,874","Additional Pay Average: ₹ 2,04,088","₹837K ₹1,939K","₹1,115K 25%","₹1,895K 75%"
